Subject,Condition,Trial,Stimword,Response,Category,RT,
001,1,2.000000,Reliable,Z,neutral,1.191248
001,1,2.000000,Nosey,/,neutral,0.644828
001,1,2.000000,Judgmental,/,high,0.707149
001,1,2.000000,Popular,/,high,0.945972
001,1,2.000000,Glamorous,/,high,0.755661
001,1,2.000000,Warm,Z,neutral,0.629793
001,1,2.000000,Creative,Z,neutral,2.362524
001,1,2.000000,Humble,Z,neutral,0.705956
001,1,2.000000,Bossy,/,high,0.849139
001,1,2.000000,Depressed,/,neutral,0.665974
001,1,2.000000,Untidy,/,low,0.645405
001,1,2.000000,Cultured,Z,high,0.908404
001,1,2.000000,Quiet,Z,neutral,0.661614
001,1,2.000000,Vain,/,high,5.535928
001,1,2.000000,Arrogant,/,high,5.436404
001,1,2.000000,Expressive,Z,neutral,1.634304
001,1,2.000000,Well-off,/,high,0.836716
001,1,2.000000,Affluent,Z,high,0.709067
001,1,2.000000,Ambitious,Z,high,0.650277
001,1,2.000000,Lonely,/,neutral,1.350784
001,1,2.000000,Knowledgeable,Z,high,1.199250
001,1,2.000000,Unsuccessful,/,low,1.368123
001,1,2.000000,Strong,/,neutral,1.490180
001,1,2.000000,Uninformed,/,low,1.018879
001,1,2.000000,Modest,Z,neutral,1.430509
001,1,2.000000,Down-to-earth,Z,low,1.196132
001,1,2.000000,Uncultured,/,low,1.320647
001,1,2.000000,Sincere,Z,neutral,1.274175
001,1,2.000000,Unkempt,/,low,1.269863
001,1,2.000000,Idle,/,neutral,1.289614
001,1,2.000000,Unmotivated,/,low,1.331385
001,1,2.000000,Patient,Z,neutral,1.072764
001,1,2.000000,Cosmopolitan,Z,high,0.645942
001,1,2.000000,Romantic,Z,neutral,0.848464
001,1,2.000000,Emotional,Z,neutral,0.600039
001,1,2.000000,Helpful,Z,neutral,1.207843
001,1,2.000000,Incompetent,/,low,1.544729
001,1,2.000000,Angry,/,neutral,2.304227
001,1,2.000000,Unsophisticated,Z,low,4.751687
001,1,2.000000,Amusing,Z,neutral,10.552903
001,1,2.000000,Talkative,Z,neutral,0.693654
